hindi,punjabi
मैं स्कूल जा रहा हूँ.,ਮੈਂ ਸਕੂਲ ਜਾ ਰਿਹਾ ਹਾਂ।
वह हर रोज़ पढ़ाई करता है.,ਉਹ ਹਰ ਰੋਜ਼ ਪੜ੍ਹਾਈ ਕਰਦਾ ਹੈ।
मेरा नाम राम है.,ਮੇਰਾ ਨਾਮ ਰਾਮ ਹੈ।
तुम्हारा नाम क्या है?,ਤੁਹਾਡਾ ਨਾਮ ਕੀ ਹੈ?
आज मेरा जन्मदिन है.,ਅੱਜ ਮੇਰਾ ਜਨਮਦਿਨ ਹੈ।
कल बारिश होगी.,ਕੱਲ੍ਹ ਮੀਂਹ ਪਵੇਗਾ।
सर्दियों में बर्फ पड़ती है.,ਸਰਦੀਆਂ ਵਿੱਚ ਬਰਫ਼ ਪੈਂਦੀ ਹੈ।
गर्मियों में बहुत गर्मी होती है.,ਗਰਮੀਆਂ ਵਿੱਚ ਬਹੁਤ ਗਰਮੀ ਹੁੰਦੀ ਹੈ।
मुझे पंजाबी सीखना है.,ਮੈਨੂੰ ਪੰਜਾਬੀ ਸਿੱਖਣੀ ਹੈ।
वह हिंदी बहुत अच्छी बोलता है.,ਉਹ ਹਿੰਦੀ ਬਹੁਤ ਵਧੀਆ ਬੋਲਦਾ ਹੈ।
हमें मेहनत करनी चाहिए.,ਸਾਨੂੰ ਮਿਹਨਤ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ।
सफलता मेहनत से मिलती है.,ਸਫਲਤਾ ਮਿਹਨਤ ਨਾਲ ਮਿਲਦੀ ਹੈ।
समय बहुत कीमती है.,ਸਮਾਂ ਬਹੁਤ ਕੀਮਤੀ ਹੈ।
मेरे पिताजी एक डॉक्टर हैं.,ਮੇਰੇ ਪਿਤਾ ਜੀ ਇੱਕ ਡਾਕਟਰ ਹਨ।
मेरी माँ स्कूल में पढ़ाती हैं.,ਮੇਰੀ ਮਾਂ ਸਕੂਲ ਵਿੱਚ ਪੜ੍ਹਾਉਂਦੀ ਹੈ।
मेरा भाई क्रिकेट खेलता है.,ਮੇਰਾ ਭਰਾ ਕ੍ਰਿਕਟ ਖੇਡਦਾ ਹੈ।
मेरी बहन गाना गाती है.,ਮੇਰੀ ਭੈਣ ਗਾਣਾ ਗਾਉਂਦੀ ਹੈ।
हम बाज़ार जा रहे हैं.,ਅਸੀਂ ਬਜ਼ਾਰ ਜਾ ਰਹੇ ਹਾਂ।
मुझे यह कपड़ा पसंद है.,ਮੈਨੂੰ ਇਹ ਕੱਪੜਾ ਪਸੰਦ ਹੈ।
यह कितने का है?,ਇਹ ਕਿੰਨੇ ਦਾ ਹੈ?
कृपया थोड़ा सस्ता कर दो.,ਕਿਰਪਾ ਕਰਕੇ ਥੋੜ੍ਹਾ ਸਸਤਾ ਕਰ ਦਿਓ।
मुझे डॉक्टर के पास जाना है.,ਮੈਨੂੰ ਡਾਕਟਰ ਕੋਲ ਜਾਣਾ ਹੈ।
मुझे बुखार है.,ਮੈਨੂੰ ਬੁਖ਼ਾਰ ਹੈ।
यह दवाई दिन में दो बार लो.,ਇਹ ਦਵਾਈ ਦਿਨ ਵਿੱਚ ਦੋ ਵਾਰ ਲਓ।
जल्दी ठीक हो जाओ.,ਜਲਦੀ ਠੀਕ ਹੋ ਜਾਓ।
ट्रेन कितने बजे आएगी?,ਟ੍ਰੇਨ ਕਿੰਨੇ ਵਜੇ ਆਵੇਗੀ?
स्टेशन यहाँ से कितनी दूर है?,ਸਟੇਸ਼ਨ ਇੱਥੋਂ ਕਿੰਨੀ ਦੂਰ ਹੈ?
मुझे अमृतसर जाना है.,ਮੈਨੂੰ ਅੰਮ੍ਰਿਤਸਰ ਜਾਣਾ ਹੈ।
सीधे जाओ फिर दाएँ मुड़ जाओ.,ਸਿੱਧੇ ਜਾਓ ਫਿਰ ਸੱਜੇ ਮੁੜ ਜਾਓ।
यह रास्ता बंद है.,ਇਹ ਰਸਤਾ ਬੰਦ ਹੈ।
मोबाइल की बैटरी खत्म हो गई.,ਮੋਬਾਈਲ ਦੀ ਬੈਟਰੀ ਖ਼ਤਮ ਹੋ ਗਈ।
कंप्यूटर काम नहीं कर रहा है.,ਕੰਪਿਊਟਰ ਕੰਮ ਨਹੀਂ ਕਰ ਰਿਹਾ ਹੈ।
इंटरनेट बहुत धीमा है.,ਇੰਟਰਨੈੱਟ ਬਹੁਤ ਹੌਲੀ ਹੈ।
यह ऐप बहुत उपयोगी है.,ਇਹ ਐਪ ਬਹੁਤ ਲਾਭਦਾਇਕ ਹੈ।
पर्यावरण को बचाना ज़रूरी है.,ਵਾਤਾਵਰਣ ਨੂੰ ਬਚਾਉਣਾ ਜ਼ਰੂਰੀ ਹੈ।
"पेड़ लगाओ, धरती बचाओ.","ਰੁੱਖ ਲਗਾਓ, ਧਰਤੀ ਬਚਾਓ।"
पानी बचाना हम सबकी ज़िम्मेदारी है.,ਪਾਣੀ ਬਚਾਉਣਾ ਸਾਡੀ ਸਭ ਦੀ ਜ਼ਿੰਮੇਵਾਰੀ ਹੈ।
प्रदूषण दिन-ब-दिन बढ़ रहा है.,ਪ੍ਰਦੂਸ਼ਣ ਦਿਨੋ-ਦਿਨ ਵਧ ਰਿਹਾ ਹੈ।
किसान खेत में काम कर रहा है.,ਕਿਸਾਨ ਖੇਤ ਵਿੱਚ ਕੰਮ ਕਰ ਰਿਹਾ ਹੈ।
फसल अच्छी हुई है.,ਫ਼ਸਲ ਚੰਗੀ ਹੋਈ ਹੈ।
गेहूं की कटाई शुरू हो गई है.,ਕਣਕ ਦੀ ਵਾਢੀ ਸ਼ੁਰੂ ਹੋ ਗਈ ਹੈ।
आज बहुत काम है.,ਅੱਜ ਬਹੁਤ ਕੰਮ ਹੈ।
मुझे छुट्टी चाहिए.,ਮੈਨੂੰ ਛੁੱਟੀ ਚਾਹੀਦੀ ਹੈ।
मीटिंग कल सुबह होगी.,ਮੀਟਿੰਗ ਕੱਲ੍ਹ ਸਵੇਰੇ ਹੋਵੇਗੀ।
रिपोर्ट समय पर जमा करो.,ਰਿਪੋਰਟ ਸਮੇਂ ਸਿਰ ਜਮ੍ਹਾਂ ਕਰੋ।
यह काम बहुत मुश्किल है.,ਇਹ ਕੰਮ ਬਹੁਤ ਔਖਾ ਹੈ।
"चिंता मत करो, सब ठीक हो जाएगा.","ਚਿੰਤਾ ਨਾ ਕਰੋ, ਸਭ ਠੀਕ ਹੋ ਜਾਵੇਗਾ।"
मुझे तुम्हारी मदद चाहिए.,ਮੈਨੂੰ ਤੁਹਾਡੀ ਮਦਦ ਚਾਹੀਦੀ ਹੈ।
"धन्यवाद, आपकी बहुत मेहरबानी.","ਧੰਨਵਾਦ, ਤੁਹਾਡੀ ਬਹੁਤ ਮਿਹਰਬਾਨੀ।"
फिर मिलेंगे.,ਫਿਰ ਮਿਲਾਂਗੇ।
अपना ख्याल रखना.,ਆਪਣਾ ਧਿਆਨ ਰੱਖਣਾ।
मुझे तुमसे प्यार है.,ਮੈਨੂੰ ਤੁਹਾਡੇ ਨਾਲ ਪਿਆਰ ਹੈ।
यह बहुत खुशी की बात है.,ਇਹ ਬਹੁਤ ਖੁਸ਼ੀ ਦੀ ਗੱਲ ਹੈ।
सत्य की हमेशा जीत होती है.,ਸੱਚ ਦੀ ਹਮੇਸ਼ਾ ਜਿੱਤ ਹੁੰਦੀ ਹੈ।
